"source","target","type","id","label","weight"
1,25,"Directed",1,NA,1
1,35,"Directed",2,NA,1
1,37,"Directed",3,NA,1
1,44,"Directed",4,NA,1
1,50,"Directed",5,NA,1
1,52,"Directed",6,NA,1
1,54,"Directed",7,NA,1
1,57,"Directed",8,NA,1
1,60,"Directed",9,NA,1
1,62,"Directed",10,NA,1
1,63,"Directed",11,NA,1
1,84,"Directed",12,NA,1
1,85,"Directed",13,NA,1
1,87,"Directed",14,NA,1
1,89,"Directed",15,NA,1
1,90,"Directed",16,NA,1
1,91,"Directed",17,NA,1
1,92,"Directed",18,NA,1
1,93,"Directed",19,NA,1
1,94,"Directed",20,NA,1
1,95,"Directed",21,NA,1
1,96,"Directed",22,NA,1
1,97,"Directed",23,NA,1
1,98,"Directed",24,NA,1
1,100,"Directed",25,NA,1
1,101,"Directed",26,NA,1
1,103,"Directed",27,NA,1
1,104,"Directed",28,NA,1
1,105,"Directed",29,NA,1
1,129,"Directed",30,NA,1
1,133,"Directed",31,NA,1
1,137,"Directed",32,NA,1
1,138,"Directed",33,NA,1
1,143,"Directed",34,NA,1
1,148,"Directed",35,NA,1
4,2,"Directed",36,NA,1
4,3,"Directed",37,NA,1
4,5,"Directed",38,NA,1
4,6,"Directed",39,NA,1
4,7,"Directed",40,NA,1
4,8,"Directed",41,NA,1
4,10,"Directed",42,NA,1
4,12,"Directed",43,NA,1
4,13,"Directed",44,NA,1
4,14,"Directed",45,NA,1
4,15,"Directed",46,NA,1
4,16,"Directed",47,NA,1
4,17,"Directed",48,NA,1
4,18,"Directed",49,NA,1
4,19,"Directed",50,NA,1
4,20,"Directed",51,NA,1
4,21,"Directed",52,NA,1
4,24,"Directed",53,NA,1
4,25,"Directed",54,NA,1
4,26,"Directed",55,NA,1
4,27,"Directed",56,NA,1
4,28,"Directed",57,NA,1
4,29,"Directed",58,NA,1
4,30,"Directed",59,NA,1
4,31,"Directed",60,NA,1
4,32,"Directed",61,NA,1
4,33,"Directed",62,NA,1
4,34,"Directed",63,NA,1
4,35,"Directed",64,NA,1
4,36,"Directed",65,NA,1
4,37,"Directed",66,NA,1
4,39,"Directed",67,NA,1
4,40,"Directed",68,NA,1
4,41,"Directed",69,NA,1
4,42,"Directed",70,NA,1
4,43,"Directed",71,NA,1
4,44,"Directed",72,NA,1
4,45,"Directed",73,NA,1
4,47,"Directed",74,NA,1
4,50,"Directed",75,NA,1
4,51,"Directed",76,NA,1
4,54,"Directed",77,NA,1
4,55,"Directed",78,NA,1
4,56,"Directed",79,NA,1
4,57,"Directed",80,NA,1
4,59,"Directed",81,NA,1
4,63,"Directed",82,NA,1
4,64,"Directed",83,NA,1
4,65,"Directed",84,NA,1
4,66,"Directed",85,NA,1
4,69,"Directed",86,NA,1
4,70,"Directed",87,NA,1
4,71,"Directed",88,NA,1
4,73,"Directed",89,NA,1
4,76,"Directed",90,NA,1
4,78,"Directed",91,NA,1
4,79,"Directed",92,NA,1
4,80,"Directed",93,NA,1
4,81,"Directed",94,NA,1
4,82,"Directed",95,NA,1
4,84,"Directed",96,NA,1
4,85,"Directed",97,NA,1
